2025-01-22 17:12:22,662 - INFO - 01-22-2025 05:12:21 PM | Listening for BaseStation...
2025-01-22 17:12:22,713 - INFO - 01-22-2025 05:12:22 PM | BaseStation connected.
2025-01-22 17:12:42,207 - INFO - 01-22-2025 05:12:42 PM | sensor: 3, wheatstone voltage:  1.57559, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
2025-01-22 17:12:47,353 - INFO - 01-22-2025 05:12:47 PM | sensor: 3, wheatstone voltage:  1.57559, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
2025-01-22 17:12:52,353 - INFO - 01-22-2025 05:12:52 PM | sensor: 4, wheatstone voltage:  1.65932, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:12:57,427 - INFO - 01-22-2025 05:12:57 PM | sensor: 4, wheatstone voltage:  1.65932, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:13:02,559 - INFO - 01-22-2025 05:13:02 PM | sensor: 4, wheatstone voltage:  1.65932, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:13:07,573 - INFO - 01-22-2025 05:13:07 PM | sensor: 4, wheatstone voltage:  1.65932, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:15:12,840 - WARNING - 01-22-2025 05:15:12 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:15:17,916 - WARNING - 01-22-2025 05:15:17 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:15:22,939 - WARNING - 01-22-2025 05:15:22 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:15:28,079 - WARNING - 01-22-2025 05:15:28 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:15:33,086 - WARNING - 01-22-2025 05:15:32 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:15:38,226 - INFO - 01-22-2025 05:15:38 PM | sensor: 3, wheatstone voltage:  1.57641, range: 0, log amp voltage:  0.00000, battery voltage:  3.75700
2025-01-22 17:17:45,858 - INFO - 01-22-2025 05:17:45 PM | sensor: 4, wheatstone voltage:  1.65990, range: 0, log amp voltage:  0.00000, battery voltage:  3.76400
2025-01-22 17:17:50,852 - WARNING - 01-22-2025 05:17:50 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:17:55,991 - WARNING - 01-22-2025 05:17:55 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:18:00,999 - WARNING - 01-22-2025 05:18:00 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:18:06,144 - WARNING - 01-22-2025 05:18:06 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:18:11,146 - WARNING - 01-22-2025 05:18:10 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:18:16,282 - WARNING - 01-22-2025 05:18:16 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:18:21,293 - WARNING - 01-22-2025 05:18:21 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
